지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
0,전국,2022-03-15,0,,,,
0,전국,2022-03-14,3.6,11.3,충주,,
0,전국,2022-03-13,18.6,43.3,문경,,
0,전국,2022-03-12,0.6,14,"철원,파주",,
0,전국,2022-03-11,0,0.2,거제,,
0,전국,2022-03-10,0,0,양평,,
0,전국,2022-03-09,0,,,,
0,전국,2022-03-08,0,0.7,울릉도,,
0,전국,2022-03-07,0,,,,
0,전국,2022-03-06,0,0,울릉도,,
0,전국,2022-03-05,0,0.1,대관령,,
0,전국,2022-03-04,0,0.6,속초,,
0,전국,2022-03-03,0,0,고산,,
0,전국,2022-03-02,0,0.1,대관령,,
0,전국,2022-03-01,2.1,7,완도,,
0,전국,2022-02-28,0,,,,
0,전국,2022-02-27,0,1.2,울릉도,,
0,전국,2022-02-26,1.2,7.6,철원,3.4,제천
0,전국,2022-02-25,0,,,,
0,전국,2022-02-24,0,0.1,울릉도,,
0,전국,2022-02-23,0,5.4,울릉도,,
0,전국,2022-02-22,0,5.7,울릉도,,
0,전국,2022-02-21,0.1,1.8,군산,,
0,전국,2022-02-20,0.1,9.5,울릉도,,
0,전국,2022-02-19,0,14.6,성산,,
0,전국,2022-02-18,0,2.8,서귀포,,
0,전국,2022-02-17,0,6.2,울릉도,,
0,전국,2022-02-16,0.4,7.7,정읍,,
0,전국,2022-02-15,0.1,1.1,임실,,
0,전국,2022-02-14,0.4,13.9,울릉도,,
0,전국,2022-02-13,0.3,8.1,속초,,
0,전국,2022-02-12,0,0,"북강릉,동해,영덕",,
0,전국,2022-02-11,0,0.1,울릉도,,
0,전국,2022-02-10,0,7.2,제주,,
0,전국,2022-02-09,0,11.9,성산,,
0,전국,2022-02-08,0,,,,
0,전국,2022-02-07,0,3.9,서귀포,,
0,전국,2022-02-06,0,1.4,"울릉도,영광군",,
0,전국,2022-02-05,0.2,3.5,성산,,
0,전국,2022-02-04,0.2,2.1,군산,,
0,전국,2022-02-03,0,0.1,울릉도,,
0,전국,2022-02-02,0,0,"북춘천,철원,춘천,백령도",,
0,전국,2022-02-01,0.5,5.8,울릉도,,
0,전국,2022-01-31,0.4,5.3,강화,,
0,전국,2022-01-30,0,0.6,울릉도,,
0,전국,2022-01-29,0,,,,
0,전국,2022-01-28,0,5,울릉도,,
0,전국,2022-01-27,0,0.3,울릉도,,
0,전국,2022-01-26,0,0.3,울릉도,,
0,전국,2022-01-25,0.4,3.5,울릉도,,
0,전국,2022-01-24,0.2,4.2,울진,,
0,전국,2022-01-23,0.1,6.8,서귀포,,
0,전국,2022-01-22,0,2.7,서귀포,,
0,전국,2022-01-21,0,0.2,울릉도,,
0,전국,2022-01-20,0.1,7.8,동해,,
0,전국,2022-01-19,0.4,7.6,울릉도,,
0,전국,2022-01-18,0,2.6,울릉도,,
0,전국,2022-01-17,0.2,1,천안,,
0,전국,2022-01-16,0.1,0.7,추풍령,,
0,전국,2022-01-15,0,0.2,"백령도,강화",,
0,전국,2022-01-14,0,1.8,울릉도,,
0,전국,2022-01-13,0.1,3.6,흑산도,,
0,전국,2022-01-12,0,4.2,울릉도,,
0,전국,2022-01-11,0.2,9.8,울릉도,,
0,전국,2022-01-10,0.1,2.7,울릉도,,
0,전국,2022-01-09,0,2.2,울릉도,,
0,전국,2022-01-08,0,0,"북춘천,철원,동두천,대관령",,
0,전국,2022-01-07,0,,,,
0,전국,2022-01-06,0,5,울릉도,,
0,전국,2022-01-05,0.2,21.6,서귀포,,
0,전국,2022-01-04,0,1.1,울릉도,,
0,전국,2022-01-03,0,0.2,인천,,
0,전국,2022-01-02,0.1,1.5,강화,,
0,전국,2022-01-01,0,0.7,백령도,,
0,전국,2021-12-31,0,13.8,울릉도,,
0,전국,2021-12-30,0.4,21.1,울릉도,,
0,전국,2021-12-29,0.1,2.1,수원,,
0,전국,2021-12-28,0,0.3,울릉도,,
0,전국,2021-12-27,0.1,4,울릉도,,
0,전국,2021-12-26,0.2,29,울릉도,,
0,전국,2021-12-25,0.7,21.5,울릉도,,
0,전국,2021-12-24,0.9,42.1,속초,,
0,전국,2021-12-23,0,5,울릉도,,
0,전국,2021-12-22,0,9.5,울릉도,,
0,전국,2021-12-21,0,0,보은,,
0,전국,2021-12-20,0,0.1,"대관령,양평",,
0,전국,2021-12-19,0.5,2.1,임실,,
0,전국,2021-12-18,0.5,7.9,울릉도,,
0,전국,2021-12-17,0.4,14.4,울릉도,,
0,전국,2021-12-16,0.6,21.5,제주,,
0,전국,2021-12-15,0.6,4.7,서산,,
0,전국,2021-12-14,0.2,6.6,청송군,,
0,전국,2021-12-13,0,0.1,백령도,,
0,전국,2021-12-12,0,0,"울릉도,청주,군산,제주",,
0,전국,2021-12-11,0,0,울릉도,,
0,전국,2021-12-10,0.4,3.4,보령,,
0,전국,2021-12-09,0,0.6,백령도,,
0,전국,2021-12-08,0,,,,
0,전국,2021-12-07,0.5,11.4,강릉,,
0,전국,2021-12-06,0,1.1,거제,,
0,전국,2021-12-05,0,0,울릉도,,
0,전국,2021-12-04,0,1.5,울릉도,,
0,전국,2021-12-03,0.6,2.5,영광군,,
0,전국,2021-12-02,0.1,2.6,군산,,
0,전국,2021-12-01,0.4,8.7,정읍,,
0,전국,2021-11-30,22.9,80.6,거제,,
0,전국,2021-11-29,0,2.7,백령도,,
0,전국,2021-11-28,0,0,군산,,
0,전국,2021-11-27,0,0,울릉도,,
0,전국,2021-11-26,0,0,"서울,울릉도,영월,홍성",,
0,전국,2021-11-25,0,0.6,이천,,
0,전국,2021-11-24,0.2,2.6,임실,,
0,전국,2021-11-23,1.1,12,영광군,,
0,전국,2021-11-22,2.4,12,서산,,
0,전국,2021-11-21,0.6,6.3,철원,0.5,백령도
0,전국,2021-11-20,0,9.8,울릉도,,
0,전국,2021-11-19,0,0,울릉도,,
0,전국,2021-11-18,0,0.8,인천,,
0,전국,2021-11-17,0,0,파주,,
0,전국,2021-11-16,0,,,,
0,전국,2021-11-15,0,,,,
0,전국,2021-11-14,0,0.2,동두천,,
0,전국,2021-11-13,0,0.2,강화,,
0,전국,2021-11-12,0.6,6.4,보령,,
0,전국,2021-11-11,1.2,10.5,영광군,,
0,전국,2021-11-10,3.2,20.6,광주,,
0,전국,2021-11-09,2.5,22.2,수원,,
0,전국,2021-11-08,22.5,38.4,수원,,
0,전국,2021-11-07,0.1,2.2,울산,,
0,전국,2021-11-06,0,0.4,북강릉,,
0,전국,2021-11-05,0,0.2,울산,,
0,전국,2021-11-04,0.4,8.1,홍성,0.1,철원
0,전국,2021-11-03,0.1,1.5,대관령,0.3,인제
0,전국,2021-11-02,0.3,10.9,속초,,
0,전국,2021-11-01,0,0,"속초,흑산도",,
0,전국,2021-10-31,0.1,4.3,양평,4.3,양평
0,전국,2021-10-30,0.1,1.7,"고산,장흥",1.5,장흥
0,전국,2021-10-29,0,,,,
0,전국,2021-10-28,0,0,포항,0,포항
0,전국,2021-10-27,0.2,5.1,철원,5.1,철원
0,전국,2021-10-26,0,,,,
0,전국,2021-10-25,0,,,,
0,전국,2021-10-24,0,0,"울릉도,고산",0,"울릉도,고산"
0,전국,2021-10-23,0,0.1,울산,0.1,울산
0,전국,2021-10-22,0.4,43.1,울릉도,10.7,울릉도
0,전국,2021-10-21,0.3,7.4,부산,3.3,포항
0,전국,2021-10-20,0,4.6,동해,3.4,동해
0,전국,2021-10-19,2.5,20.5,동해,14.9,서산
0,전국,2021-10-18,0.3,8,강화,4.9,강화
0,전국,2021-10-17,0,29.2,울릉도,8.9,울릉도
0,전국,2021-10-16,6.1,28.3,울릉도,8.1,울릉도
0,전국,2021-10-15,6.3,37.7,속초,20.4,속초
0,전국,2021-10-14,0,0,"속초,백령도",0,"속초,백령도"
0,전국,2021-10-13,0.1,2.6,동해,1.9,성산
0,전국,2021-10-12,3.8,26.7,거창,6.4,거창
0,전국,2021-10-11,11.6,50.6,경주시,17.7,여수
0,전국,2021-10-10,5,32.9,백령도,19,순천
0,전국,2021-10-09,4.4,101.6,울진,50.7,성산
0,전국,2021-10-08,1.7,23.4,속초,5.9,속초
0,전국,2021-10-07,1.5,13.4,천안,13.1,천안
0,전국,2021-10-06,3.7,60.7,북강릉,12.6,포항
0,전국,2021-10-05,1.5,56.9,속초,9.9,속초
0,전국,2021-10-04,2.5,70.7,철원,24.9,철원
0,전국,2021-10-03,0,0,북춘천,0,북춘천
0,전국,2021-10-02,0.7,15.5,서산,15.3,서산
0,전국,2021-10-01,1.1,13.3,서울,12.7,서울
0,전국,2021-09-30,4.4,41.1,포항,17.6,포항
0,전국,2021-09-29,22.6,70.8,여수,34.4,순천
0,전국,2021-09-28,0.7,13.1,백령도,2.7,백령도
0,전국,2021-09-27,0.1,4.9,경주시,3.8,경주시
0,전국,2021-09-26,0.1,2.3,태백,1.1,태백
0,전국,2021-09-25,1.2,23.6,동해,8,동해
0,전국,2021-09-24,0.6,11.4,속초,9.2,속초
0,전국,2021-09-23,0,0,"북춘천,철원,춘천,원주",0,"북춘천,철원,춘천,원주"
0,전국,2021-09-22,5.4,31.1,양평,26.2,양평
0,전국,2021-09-21,25.8,79.6,강화,38,강화
